anchor,winner,loser
tostada,saltshaker,jetski
banner,bowling ball,train set
mistletoe,gun,eggplant
bee,dynamite,scorpion
stump,apple tree,pacifier
coop,taillight,corsage
dumbwaiter,boar,viewfinder
road sign,dreidel,knee
monkey,shopping basket,mustache
jack,radar,polar bear
clipboard,moth,wrapping paper
prism,gavel,knee
scaffolding,sledgehammer,boar
ice pack,incubator,knee
ravioli,meerkat,juice
dragonfly,trap,turntable
ham,coffee,dynamite
poster,solar panel,knee
fishhook,eagle,brake
painting,patty,altar
pocketknife,meerkat,lantern
latch,moth,scaffold
tamale,fudge,bowling ball
sledgehammer,poodle,vent
kitten,tank,duck
odometer,stamp,knee
school bus,hoe,gearshift
backscratcher,polisher,rabbit
goose,diamond,calf
stamp,ribbon,knee
coat rack,furnace,goose
coat rack,pool table,goose
ferris wheel,surfboard,caterpillar
paper towel,paperweight,crow
strawberry,bullet,chocolate
meatball,hash,hairdryer
seaplane,walnut,roadsweeper
bike,volleyball,first-aid kit
splinter,yolk,tree trunk
hammock,revolver,scooter
mashed potato,jetski,cornbread
kazoo,aardvark,shoehorn
beanbag,rhinoceros,checkers
cleat,outlet,corsage
rug,door,badger
painting,face mask,tattoo
bobsled,raft,knot
whipped cream,calzone,grate
artichoke,hovercraft,beet
headscarf,scarecrow,first-aid kit
uniform,taffy,bathrobe
bathrobe,pocket,soccer ball
daisy,chariot,stem
train,generator,soda
meatball,hummus,truck
pulley,bolt,otter
basil,jewel,prune
shirt,barrel,neck
domino,moth,paperweight
torch,crayon,rain gauge
pie,harp,measuring cup
grapevine,tuba,avocado
sunroof,lion,cellphone
dumpster,gargoyle,papaya
binoculars,corsage,filing cabinet
inhaler,mouse,megaphone
metal detector,log,gumball
valve,rhinoceros,drill
cap,crayon,cocoon
hopscotch,revolver,mousepad
sweeper,vulture,doorstop
costume,chandelier,stomach
oilcan,petri dish,foot
brooch,prism,chipmunk
lamp,chimney,pony
trampoline,tricycle,match
horse,cobra,tennis ball
denture,cotton candy,notebook
pajamas,mustache,patty
wineglass,shell,dessert
cougar,moose,doily
kangaroo,cup,beaver
stereo,daisy,periscope
roller coaster,zucchini,ramp
noose,brake,wineglass
tie,cilantro,wetsuit
gold,knee,scrabble
smoothie,bedpan,spider web
shower,shell,bedpan
dishrag,envelope,shark
extinguisher,rat,match
steamroller,necklace,pothole
bologna,diamond,juicer
sombrero,bracelet,boar
ear,computer,braid
crayon,stump,mouthpiece
dogfood,orange rind,bathtub
wrist,beaker,outfit
binder,pigeon,laundry basket
tree trunk,computer,moss
panther,strainer,praying mantis
souffle,olive,rake
police car,airbag,marmalade
ravioli,organ,pita
can opener,possum,silverware
rollerskate,dartboard,vulture
snack,space shuttle,raspberry
sifter,boar,belt buckle
cantaloupe,blouse,ketchup
plate,hedgehog,blueberry
scrambled egg,cornucopia,cardinal
pickax,soldering iron,eclair
gum,hawk,french fries
dog,snail,shell
tray,apron,swan
surfboard,dumbbell,patty
grinder,swan,coffeemaker
crystal,net,propeller
pothole,turnstile,cardinal
copier,flower,clipboard
shrimp,cranberry,charger
pulpit,candelabra,wolf
chest,fire,eye
periscope,first-aid kit,crank
piglet,bison,television
coat rack,fire alarm,chipmunk
seafood,tomato,roadsweeper
boxer shorts,cable,bandanna
wall,ankle,clothesline
string cheese,jeep,cordon bleu
slug,phone,cougar
retainer,peppermint,boar
orchid,laptop,blackberry
magnet,rocking horse,boar
bubble wrap,net,quesadilla
tiger,eel,camper
penholder,knee,gear
undershirt,toga,jet
whale,backscratcher,chinchilla
mitten,bowling ball,brush
snake,rhinoceros,first-aid kit
fig,stethoscope,scallion
hummingbird,gong,sloth
crowbar,pulley,lime
snorkel,olive,helmet
bark,thorn,beachball
crank,peach,food processor
yogurt,machine gun,pretzel
knife,razor,badger
espresso,tricycle,snack
stake,corsage,scooter
record player,finger,compass
mug,hotplate,kite
computer screen,pancake,closet
mold,joystick,polar bear
barrel,hamster,bench
grenade,marshmallow,gun
latch,plunger,peach
bumper,manhole,knee
trolley,scaffolding,skunk
bubble wrap,net,stir fry
cushion,balance beam,revolver
headphones,moth,engine
wheelchair,bracket,grass
tent,gumball,red carpet
chick,toad,locker
pumpkin,turntable,eggshell
footrest,raspberry,hairbrush
makeup,diaper,bag
bow,blinder,wood
almond,stretcher,chive
flypaper,diamond,oyster
bike,sheep,harness
rattlesnake,shrimp,tricycle
bracket,cocoon,electric chair
parsley,dagger,asparagus
doghouse,sorbet,cot
dreidel,vulture,basketball
otter,plug,poodle
rim,faucet,iguana
clipper,cucumber,dolphin
calf,mosquito,shawl
dumbwaiter,thermostat,spider web
lifesaver,binoculars,goose
gumdrop,ladder,cornbread
scaffolding,mold,okra
chalice,birdcage,cilantro
monkey,jeep,horse
bookshelf,margarita,door
envelope,mosquito,pin
spareribs,tennis ball,smoothie
remote control,catfish,polygraph
purse,knee,umbrella
file,poppy,crowbar
basketball hoop,hula hoop,bear
hookah,coffee pot,badger
light switch,hawk,cash register
hammock,cockroach,bassinet
shutter,artichoke,coat rack
berry,fast food,wheelchair
pastry,flamethrower,star fruit
chinaware,vulture,vegetable
belt,cornhusk,tugboat
candy,cheesecake,uniform
giraffe,necklace,ant
blind,toilet,meerkat
pulpit,metronome,bear
highlighter,pony,mouthpiece
juicer,jeep,sausage
hairdryer,fur coat,eggbeater
marijuana,fig,revolver
scorpion,sword,footprint
wetsuit,grape,flag
hoodie,hairspray,poinsettia
light switch,raccoon,hinge
reindeer,lego,rhinoceros
pepper mill,corsage,bead
poster,knee,scarecrow
boulder,beachball,shopping basket
giraffe,kite,duck
kitten,reindeer,kayak
doorhandle,pheasant,saltshaker
pom-pom,eggnog,sticker
headband,belt,terrarium
potpourri,finger,coffee bean
dragonfly,lamppost,rack
air conditioner,bison,amplifier
boxing gloves,football,stalagmite
tackle,paper plate,gem
lamb chop,banjo,piecrust
soy sauce,jeep,sardine
wallpaper,potholder,hedgehog
camcorder,videocassette,cabinet
headrest,leggings,corsage
apple,rocking chair,coffee bean
microscope,beachball,whiteboard
rooster,crayfish,first-aid kit
pie,cake,ladder
bonsai,pesto,jet
skull,cornbread,eye
metronome,spider web,payphone
machine gun,soda,gargoyle
detonator,missile,foot
lip balm,nail clippers,grate
screw,whale,gargoyle
clay,jeep,ice pack
bulletin board,place mat,meerkat
hinge,badger,vase
electric chair,tractor,cream
shoe,cornhusk,carrot
wheat,carrot,chisel
scissors,piglet,checkbook
pine tree,leek,brass knuckles
ferris wheel,globe,deer
ice-cream cone,carrot,polar bear
gopher,badger,soap
terrarium,boxing gloves,dolly
earplug,corsage,triangle
hanger,knee,braid
school bus,mongoose,saddle
thimble,pliers,foot
beaker,baseball,water heater
thumb,jumpsuit,grate
tarantula,recorder,moose
ram,mole,fence
dartboard,weasel,telegraph
zipper,apple,trigger
flamingo,alligator,helmet
gumball,peppermint,machine gun
power line,dough,metronome
pallet,ruler,swan
bowl,boar,spoon
cement mixer,screw,artichoke
playing card,piglet,stapler
yolk,trolley,wax
wetsuit,nightshirt,basil
goggles,glasses,goose
sarcophagus,gumball,trailer
macadamia,gumball,hydrant
egg,sidecar,seafood
abacus,train set,face
keyhole,knee,curling iron
mouthpiece,banana,knee
calf,seatbelt,bison
hot chocolate,souffle,kayak
microphone,speedometer,lettuce
timer,tray,foot
food processor,cockroach,punch
blindfold,costume,fire
water cooler,piecrust,lion
goldfish,puffin,camper
mulberry,moccasin,arugula
nose,tank,pipe
mistletoe,flagpole,petal
backscratcher,thermometer,swan
saddle,gumball,sock
envelope,ballot box,honeycomb
ashtray,soy sauce,grate
videocassette,locker,leopard
taillight,whale,guardrail
lunchbox,binder,boar
grasshopper,blackberry,record player
crutch,wind chimes,cockroach
mat,duct tape,test tube
mat,shark,wedge
checkbook,whale,chair
ferris wheel,lens,ankle
toe,bracelet,shaker
turtle,volleyball,gorilla
aircraft carrier,raspberry,sprinkler
crib,gumball,nightstand
lego,highlighter,chandelier
trombone,sea urchin,dumbbell
christmas card,cilantro,leash
seahorse,kitten,dial
baton,trowel,vulture
groundhog,paint,cactus
iron,hawk,seatbelt
bok choy,mussel,dynamite
brake,artichoke,petri dish
cat,gallows,navel
lipstick,makeup,anchor
stove,vulture,can
iguana,limousine,aardvark
fishhook,vent,poodle
glove,sawhorse,whale
sonogram,wire cutters,chest
tape measure,swan,shears
step stool,turkey,lantern
hole,turbine,corsage
canvas,computer,spider web
mirror,dolphin,microscope
cooler,chick,ski
earwig,golf club,sloth
amber,stalagmite,face
whisk,mop,swan
pedometer,peeler,boar
bongo,baseball glove,lightning bug
scallop,seed,lumber
duckling,slug,jar
leggings,artichoke,ski boots
pita,grille,oyster
headband,gravy,jumpsuit
washing machine,piglet,bin
plaster cast,baseball glove,computer
honeypot,chocolate,knee
phone booth,toolbox,patty
lanyard,raspberry,key
lion,grasshopper,tricycle
violin,cymbal,pineapple
anteater,chick,cap
sparkler,pipe,grate
wire,shoelace,finger
air mattress,aquarium,vulture
grits,cracker,record
speaker,cilantro,satellite
champagne,meat grinder,jigsaw puzzle
sim card,workbench,cabbage
curb,waterwheel,strawberry
skewer,rickshaw,straw
home plate,necklace,confetti
jam,quad,teabag
rain gauge,corsage,solar panel
egg,bun,screen
refrigerator,boxing gloves,icepick
faucet,fire,paperclip
soda,fence,calamari
blinder,cockroach,fire
bedpost,nightstand,alpaca
worm,first-aid kit,pigeon
kilt,chaps,dynamite
blowgun,paper plate,trident
pear,crayon,fern
pajamas,rollerskate,revolver
knitting needle,latch,cream
buoy,aircraft carrier,boar
pine tree,pillbox,dandelion
wafer,yogurt,grate
meatloaf,smoothie,hot-air balloon
puffin,strainer,mouse
curb,raspberry,trap
eagle,ostrich,polygraph
tape,inkwell,lamb
chinaware,hawk,washcloth
chickpea,fruitcake,french horn
razor blade,artichoke,duct
tinsel,orchid,gorilla
statue,apple,overalls
shoulder,train,kneepad
cereal,carriage,gourd
vacuum,vulture,ladle
maggot,sidecar,bison
eye,mascara,bunkbed
weasel,blowfish,siren
pencil,rat,album
door,swing,cilantro
swab,glue,ball
charcoal,goose,prune
saddle,camel,gumball
shortbread,pita,soccer ball
cockroach,table,lion
saxophone,vacuum,shark
cleat,corsage,cellphone
macadamia,buggy,wafer
gutter,corsage,magnifier
syringe,hot-water bottle,daisy
duffel bag,road sign,piglet
retainer,fire,plastic film
basil,vise,beet
freezer,sunroof,hawk
toolbox,grill,polar bear
turnstile,organ,piglet
boxer shorts,walker,tank
fishnet stockings,shirt,train
gear,cabbage,screwdriver
blind,corsage,swizzle stick
pepper mill,vulture,yolk
golf cart,torpedo,bubble wrap
ruby,locket,wooden leg
thread,sewing kit,furnace
lettuce,shawl,asparagus
sweatsuit,artichoke,squirt gun
tag,glove,raspberry
shower curtain,scallion,clothesline
stained glass,mantle,lizard
whoopee cushion,ribbon,meerkat
oil,gallows,champagne
footrest,lemon,touchpad
sandpaper,spring roll,doorknocker
mole,panda,hockey stick
backgammon,whale,soldering iron
shoe,springboard,spider web
ship,fishing pole,badger
bull,tuning fork,mole
router,milk,icemaker
fox,saucer,anteater
turbine,drill,chipmunk
potpie,blouse,whipped cream
hairnet,bra,tuning fork
pogo stick,okra,pan
doll,water fountain,playpen
earwig,crane,lobster
grinder,eyedropper,poodle
flamingo,piglet,organ
boomerang,pea,hockey stick
hose,boxer shorts,slingshot
coaster,eagle,tortilla
orange rind,chisel,salad
hot-water bottle,lid,spider web
sandcastle,trident,knee
ladybug,snorkel,squirrel
mustache,corset,fire
brake,noose,poppy
revolver,bathmat,ratchet
jigsaw puzzle,brussels sprouts,jukebox
cake,boxing gloves,clay
dish,shark,hearing aid
nightshirt,tugboat,bow
webcam,bedpost,carrot
jug,dreidel,grate
football helmet,pinball,vulture
moccasin,spider,bracelet
pepper,tapestry,bok choy
scarf,fire,tube top
lemon,cd player,clove
crane,vulture,horn
rag,briefcase,tuba
maple syrup,raccoon,salami
poppy,shaker,fern
suitcase,inkwell,poinsettia
brooch,cilantro,turban
key,armor,poppy
cigarette,lighter,soccer ball
carousel,game,cilantro
tack,rust,blouse
worm,shell,compost
dip,bowling ball,cork
fan,vulture,refrigerator
barbed wire,mailbox,bowling ball
clover,bean,tuba
fireworks,milk,fuse
tea,crumb,yak
gorilla,guinea pig,tupperware
ambulance,ferris wheel,souffle
bank,peeler,boar
chicken,basketball,thumb
shoe polish,corsage,bag
chariot,shuffleboard,baklava
corn,wing,sponge
squeegee,pliers,apple tree
goalpost,leash,pea
whipped cream,trombone,chickpea
waterwheel,spool,gumball
tuxedo,leek,footbath
game,dartboard,goose
yogurt,rickshaw,cantaloupe
kite,denture,hot-air balloon
megaphone,corsage,pedal
juicer,apple tree,shell
raincoat,shower cap,sword
makeup,gum,whale
checkbook,traffic light,okra
photo booth,pancake,luggage
sea urchin,pickax,bonsai
caramel,face mask,incubator
grass,cummerbund,puddle
vulture,tricycle,catfish
velcro,balance beam,knee
container,gas mask,cilantro
pool table,chipmunk,stool
lego,noisemaker,ant
face,hula hoop,shoelace
fox,manatee,taffy
cheese,tray,quad
pigeon,test tube,duck
slicer,chinaware,ladybug
screw,otter,wooden leg
toga,jet,hanger
skateboard,turbine,marshmallow
sheet,shears,curtain
guacamole,knitting,sweet potato
bull,fossil,dynamite
french horn,gopher,unicycle
whoopee cushion,awning,hawk
ruler,raccoon,hourglass
abacus,dice,dolphin
hot-water bottle,vulture,coffee pot
sand,nail polish,pepper
chili,batter,hoodie
duffel bag,raccoon,glove
dustpan,knee,spark plug
butterfly,groundhog,inhaler
coat rack,goat,scoop
scallion,wire cutters,donut
shrimp,trampoline,cucumber
string cheese,kite,stuffing
scoop,pesto,hedgehog
milk,gazelle,sandwich
top hat,totem pole,okra
doormat,knee,drill
pincushion,hanger,wood
coop,corsage,dresser
telescope,outlet,artichoke
board game,lip balm,spider web
hotdog,sugar cube,knee
easter egg,dessert,revolver
spinach,bok choy,snowmobile
groundhog,soap,peacock
pot,applesauce,weasel
window,handbrake,knee
beaver,ink,kitten
t-shirt,gauze,jet
butter,whale,pet food
beanbag,mug,wreck
potato,sidecar,sorbet
grill,toe,juicer
mandolin,clothespin,raspberry
bamboo,soccer ball,clothespin
prism,knee,drain
dishwashing liquid,boar,gel
cinnamon,chess piece,shark
crucifix,stilt,crystal
polaroid,pool table,artichoke
sheath,beet,holster
seahorse,revolver,vulture
bedpan,mailbox,chipmunk
chili,helmet,meat grinder
clipper,stem,gallows
lip gloss,scissors,wolf
rooster,french horn,slug
donkey,satellite dish,eagle
rollerblade,chaps,okra
prune,blouse,noodle
gazelle,helmet,cobra
tray,shark,tarp
bubble wrap,stuffing,solar panel
jackhammer,polisher,ant
spatula,fox,grater
binder,artichoke,pedometer
polisher,slicer,daisy
recorder,eye,keyboard
brownie,necklace,jam
hash,bulletproof vest,fig
overalls,paper plate,ski
ivy,windowsill,ruby
lollipop,firewood,penholder
sweet potato,mold,clarinet
trap,blinder,corsage
carrot,eyepiece,sausage
clarinet,mallet,star fruit
switch,charger,chipmunk
chinaware,closet,knee
brownie,pita,space shuttle
telegraph,parachute,wine cooler
clay,cardboard,grate
underwear,raspberry,tablecloth
face mask,flower,wetsuit
railing,bazooka,peach
cookie sheet,thermometer,moth
jumpsuit,woman,paper plate
camcorder,granola,sweeper
wagon,chair,button
beehive,fencepost,gun
safety pin,stingray,fan
bug,toaster oven,cockatoo
gun,missile,bathrobe
beer,beachball,scone
starfish,jellyfish,revolver
cookie cutter,kite,tack
cruise ship,boat,poodle
alligator,crate,bat
file,peg,basil
doormat,knee,gargoyle
tripod,generator,blowfish
key,tripod,cilantro
robot,skateboard,dolphin
pasta,brass knuckles,mold
shredder,spider web,extinguisher
treasure,mask,clipper
drain,hedgehog,birdhouse
oatmeal,cape,tea
gravy,blender,eagle
headband,forklift,hairnet
frisbee,rim,orangutan
life jacket,chipmunk,turnstile
eyeliner,baton,toad
ferret,bungee,toad
pencil sharpener,axe,boar
bracelet,keyhole,vulture
tree trunk,racket,lectern
lasagna,cookie,propeller
splinter,pantyhose,souffle
window,knee,stool
file,owl,dreidel
yo-yo,corsage,bowling ball
blimp,hot-air balloon,yogurt
modem,vulture,staple gun
jukebox,whale,bomb
rearview mirror,papaya,leash
cleat,corsage,mop
checkbook,okra,suitcase
raisin,banana peel,target
otter,eagle,dishwasher
bottle,coyote,ice pack
barrette,juice,fishnet stockings
splinter,knitting needle,dryer
file,playpen,faucet
zipper,container,carrot
coffeemaker,cardinal,slicer
ribbon,bow,rickshaw
dolphin,beaker,platypus
doorknocker,knee,scale
appetizer,breadstick,trombone
cocoon,lettuce,birthday cake
trophy,cleat,spider
bottle,pinball,hyena
ball,stake,machine gun
mug,mantle,meerkat
shirt,fire,leg
beanbag,cornhusk,gun
workbench,knee,doorknob
egg,shawl,grapefruit
cello,table,rabbit
film,corsage,prism
chess piece,luggage,grate
goggles,aardvark,blindfold
motorcycle,cocoon,forklift
tiara,watch,pancake
tick,leech,fire
clipper,palm tree,book
sauce,gallows,omelet
sombrero,shell,vase
seagull,pencil,lightning bug
pump,moth,fan
vise,jackhammer,yolk
berry,hammer,noodle
backdrop,whoopee cushion,artichoke
fence,window,contact lens
coffee,broccoli,tuba
turnstile,polar bear,polygraph
raspberry,nail clippers,ice cream
chimney,ramp,corsage
key,ski pole,hedgehog
football,shoe,robe
mulberry,pasta,flipper
sunroof,tuba,buggy
tortellini,pony,cornmeal
face mask,skunk,balance beam
coil,laser pointer,pig
tarp,eagle,fire hydrant
eraser,crystal,combination lock
unicycle,mosquito,metronome
flan,face mask,steak
crepe,lamb chop,school bus
puddle,grille,lawnmower
pedal,abacus,bouquet
filter,license plate,pesto
salami,humvee,breadbox
canister,mole,cufflink
polo shirt,bowtie,knife
pepperoni,knee,gum
music box,crucifix,crow
noisemaker,wing,peppermint
bookmark,awning,fire
arm,chisel,toga
teabag,knee,snack
stake,corsage,pennant
weather vane,duct,knee
bowler hat,button,corsage
pickle,lemonade,diaper
shell,pocketknife,speedboat
hanger,fork,knee
blueberry,clam,french horn
quesadilla,flyswatter,dessert
rocking chair,windowsill,slug
reindeer,zebra,paintbrush
parfait,sloth,apple
ready meal,cape,mushroom
bobsled,melon,truck
jam,counter,shell
scaffolding,reel,hawk
pot,springboard,mascara
chicken wire,whale,doorhandle
rollerblade,grate,hanger
extinguisher,cockatoo,crank
sauce,moth,bread
grenade,nail,badger
candy bar,carriage,squash
pump,trumpet,garter
turtleneck,paintbrush,washcloth
leopard,butterfly,rocking chair
beanbag,moth,mitten
corn,pita,hammer
coal,furnace,seagull
banana,tuba,egg
fudge,flute,butter
aardvark,chinchilla,button
lawnmower,glove,birthday cake
soy sauce,hawk,eggnog
fox,bed,pheasant
lettuce,zucchini,blowtorch
dynamite,fire,swimming pool
flower,walker,dandelion
garbage,cardinal,gum
wolf,chihuahua,skewer
gumdrop,racket,pita
sheath,dart,ladybug
gong,cilantro,gramophone
slicer,squirrel,hamburger
cauliflower,radish,ratchet
toothbrush,basil,windshield wiper
milk,cereal,ankle
quill,guillotine,knee
chicken wire,revolving door,souffle
lamb,shark,valve
truck,corkboard,forklift
pistachio,handcuff,peach
stove,vulture,burner
lasagna,scone,pickax
cookie sheet,showerhead,cardinal
air mattress,doorstop,meerkat
canvas,velcro,peach
station wagon,mailbox,margarita
tick,bowling ball,twig
speedboat,ambulance,chickpea
blender,badger,muffin
drill,guardrail,aardvark
eyedropper,gavel,knee
pulley,face,lock
bacon,throne,vegetable
pony,column,bear
wire cutters,barbed wire,anklet
crown,hookah,apple
popcorn,raspberry,jet
camera,corsage,go-kart
baton,mongoose,gavel
playpen,boy,ivy
briefcase,shoe,moth
smoke alarm,tack,vulture
christmas card,cilantro,paperclip
tiger,leopard,paper plate
grill,polar bear,pole
mantle,plunger,toe
cannonball,mashed potato,meerkat
parsley,french fries,pacifier
mud,emerald,recorder
bird,leopard,brick
sticker,ping-pong table,whale
seatbelt,football helmet,gyro
ski boots,cabbage,leotard
sauce,cashew,spider web
orange,meat,headband
stopwatch,pogo stick,corsage
tank,cannon,pigeon
carrot,sweater,popcorn
donkey,camcorder,butterfly
mashed potato,spareribs,tugboat
checkers,easter egg,swan
hula hoop,fire,rollerskate
antelope,otter,tuba
cruise ship,egg,camper
crank,suspenders,raccoon
closet,sofa bed,moth
kazoo,seesaw,cabbage
toothpick,tennis ball,nutcracker
shower cap,cushion,jeep
potholder,warthog,vending machine
napkin,bison,chessboard
birthday cake,walrus,applesauce
nail,peeler,arugula
doormat,hairbrush,knee
tackle,milk,horseshoe
doorknob,file,cardinal
wine cooler,handle,grate
coffee bean,cauliflower,tapestry
corset,stockings,melon
shrimp,bus,tortilla
bat,rhinoceros,racket
french fries,pom-pom,lemonade
figurine,cilantro,rattle
medal,banjo,polar bear
washing machine,speedometer,piglet
balance beam,cockroach,toilet paper
skull,nose,blanket
cobra,mouse,hubcap
uniform,skeleton,breadstick
sweater,boa,poinsettia
crayon,shortbread,sticker
sled,train set,ladybug
wax,applesauce,sword
button,lobster,gum
screw,daisy,pocket watch
hatbox,scale,sheep
shutter,polar bear,outlet
flask,breathalyzer,rabbit
wrap,humvee,cooker
cake,filter,potpie
accordion,backgammon,whale
mulberry,taco,robe
extinguisher,finger,landmine
rug,blimp,stained glass
camera,canoe,diaper
tiramisu,oil,dynamite
filing cabinet,lock,bonnet
air conditioner,mint,toilet
man,firewood,swimsuit
revolving door,bolt,chipmunk
stalagmite,thread,bench
napkin,aloe,barcode
swab,tooth,rock
spacesuit,hip,lion
lamppost,swizzle stick,knee
hat,washing machine,aardvark
mud,chandelier,pinecone
wand,cardigan,bell
dumpster,container,catfish
crystal,fire,fungus
kazoo,jump rope,mosquito
ham,shell,sprouts
hammer,railing,calamari
napkin,first-aid kit,handkerchief
crab,antelope,locket
washcloth,eagle,water cooler
stretcher,scooter,handkerchief
bobsled,station wagon,curry
pom-pom,rocket,washcloth
sundae,boxing gloves,oatmeal
praying mantis,kaleidoscope,catfish
cummerbund,ear,whale
tinsel,mouse,fungus
mustard,shortbread,sword
beaker,dandelion,water bottle
curb,vulture,spark plug
spear,doll,clipper
leopard,pheasant,mousse
grape,stockings,seafood
scarecrow,grate,skin
brick,bead,mosquito
beard,bathmat,shoulder
calculator,videogame,licorice
safety pin,penholder,flan
belt buckle,artichoke,barbell
creme brulee,jet,hotdog
razor blade,oilcan,raccoon
steering wheel,key,meerkat
file,springboard,goat
glasses,trident,swan
pillbox,sugar cube,toucan
cornmeal,kite,ham
mallet,wand,beaver
butter,vulture,caramel
napkin ring,lion,bongo
hubcap,playpen,camera
bead,toothpaste,knee
gem,wallpaper,boar
cake mix,racket,mango
mullet,vest,pillbox
trunk,doorbell,caterpillar
screwdriver,axe,praying mantis
banjo,speaker,cougar
thorn,tuba,shovel
clipper,pacifier,road sign
tattoo,strainer,loincloth
stopwatch,grate,washing machine
garter,tube top,volleyball
poinsettia,showerhead,orchid
coffee pot,warthog,breathalyzer
crystal,cabinet,confetti
peach,wagon,french fries
birdhouse,knee,clipper
stopwatch,ruler,grate
curtain,leopard,shelf
filing cabinet,guardrail,duckling
blowgun,chest,pillbox
cheetah,mongoose,ladder
parking meter,cabbage,computer
headlamp,cabbage,collar
collar,parking meter,milk
coffee filter,strainer,sidecar
airplane,torpedo,punch
scuba,aircraft carrier,hay
noodle,showerhead,hummus
gasket,rim,poinsettia
dagger,piglet,slingshot
granite,blimp,ice
electric chair,peach,turnstile
plunger,papaya,light switch
tent,pillow,mascara
gumball,wrap,step stool
sunroof,amplifier,tuba
air mattress,credit card,meerkat
mushroom,carriage,rattlesnake
batter,boxing gloves,tongs
bulldozer,owl,tugboat
mouse,gallows,toucan
moose,humvee,crab
sea urchin,rake,propeller
teepee,wheat,toe
scone,jewel,whisk
cow,puppy,seatbelt
wallpaper,artichoke,staple
stew,racket,banana split
spareribs,mango,corsage
wine bottle,perfume,ankle
couch,dolphin,workbench
manhole,horseshoe,curry
test tube,toad,honeypot
cigarette,furnace,gopher
cornmeal,tuba,gourd
taxi,leash,cream
filing cabinet,sink,fox
monkey,knob,parrot
blinder,tuba,corset
dirt bike,elbow,dough
pepper,rack,cinnamon
jelly bean,gurney,handprint
buffet,wing,burrito
lip gloss,grate,pen
cardinal,eraser,praying mantis
leek,banjo,curry
mashed potato,soup,trombone
combination lock,hook,goose
cement mixer,life jacket,toe
shell,chainsaw,corset
cream cheese,grate,chive
granola,eyepiece,raisin
cookie sheet,cardinal,wall
eyepiece,pajamas,fire
game,corkboard,chick
locket,pony,lamp
potato,cape,cactus
pipe,mullet,beachball
bowling ball,cable,yo-yo
eggplant,breadstick,grate
margarita,scone,chisel
pie,train,string cheese
fig,potpie,seatbelt
costume,coverall,strainer
pennant,shutter,knee
tostada,bowling ball,chili
cookie,vest,bagel
dress,leek,brace
sea urchin,diamond,beehive
eagle,crayfish,pitcher
eggbeater,waffle iron,gazelle
mustache,fire,camel
tinsel,squirrel,dice
soldering iron,lion,cookie sheet
battery,dreidel,poppy
contact lens,melon,toilet
arrow,patty,soldering iron
hockey stick,stair,cilantro
guardrail,chainsaw,corsage
sloth,eel,trophy
noodle,soccer ball,brownie
hairpin,donkey,sewing kit
lemon,brass knuckles,sundae
vegetable,eclair,knee
dart,headlamp,grate
oven,knee,extinguisher
