item,id,dim_0,dim_1,dim_2,dim_3,dim_4
dessert,47,0.074242815,-0.036441345,-0.21554132,0.08820783,0.027173247
doily,48,0.021749893,-0.11903945,-0.19719675,-0.07083076,0.0053459653
doorknob,49,0.07627538,0.010426803,-0.088823445,-0.034291435,0.19432308
doorknocker,50,-0.1547781,0.013099693,0.19630636,0.049563866,0.0903888
dough,51,0.10818183,0.0138380155,0.012245617,-0.13687675,0.11453092
enchilada,52,0.11427355,-0.056131274,-0.023750467,0.0895171,0.22876404
exhaust pipe,53,0.0115271965,-0.039812855,0.058724806,-0.057769503,-0.12035862
extinguisher,54,-0.20119911,-0.104006045,-0.015682185,0.105669804,0.22028941
fire alarm,55,0.08296004,-0.085887104,-0.048867706,0.062273007,-0.12592189
fishbowl,56,-0.15711202,-0.06573626,-0.14330053,-0.12320138,0.0857301
flower,57,0.13337149,-0.0042778575,-0.0038644455,-0.06624627,-0.013261196
fly,58,0.05360946,-0.14848828,0.025338963,0.10087868,-0.1285742
giraffe,59,-0.18592472,-0.17490709,0.08515464,0.16383323,-0.01457886
gourd,60,-0.13431469,0.10345766,-0.18851668,0.2359104,-0.0659345
grapefruit,61,-0.06335916,-0.002912514,-0.15406163,0.26667306,0.011318123
grasshopper,62,-0.13735849,-0.2670579,-0.057990305,0.13726121,-0.09024178
gravy,63,-0.105918705,-0.16076964,-0.08059904,-0.07806295,-0.08072376
guitar,64,-0.048521463,-0.060830098,0.1594627,-0.11783583,-0.14601925
hat,65,-0.22576232,0.08480644,0.012521229,-0.03728102,0.12690295
hatchet,66,0.15685585,-0.08781615,0.013570742,0.2093743,0.09848679
honeypot,67,0.009484443,-0.032038715,-0.041611675,-0.14271508,0.1311403
hot-air balloon,68,-0.087389715,-0.24413027,-0.05225967,0.1671793,0.047574002
hula hoop,69,-0.027351547,0.0511623,0.05699841,0.14302503,0.16186239
hummus,70,-0.089783214,-0.104799286,0.18076383,-0.13929914,0.08500162
humvee,71,-0.019530311,0.0651745,0.099838495,-0.038672403,-0.083737455
hyena,72,-0.0024125685,-0.062023785,-0.09803802,-0.16664967,-0.13416018
iguana,73,-0.21720819,0.07066504,0.17946517,-0.00420492,0.083234064
jeans,74,-0.015317509,-0.16213343,0.07824905,0.15843624,0.017717667
kilt,75,-0.09943712,0.059420157,-0.08005751,-0.17407678,0.2054974
kimono,76,0.047801822,0.19697773,-0.031784482,0.109881245,0.043195926
kneepad,77,-0.0034486582,-0.12458842,-0.00046005583,0.3519921,0.009692128
knitting needle,78,-0.2069592,-0.040161714,0.17050028,-0.16966335,0.017869567
knob,79,0.17987327,-0.10987161,-0.05754477,0.03820613,0.061728436
lawnmower,80,-0.0859789,-0.25583175,-0.01341655,-0.044548444,0.106865816
leek,81,-0.050607074,-0.23964982,0.08588204,0.12189593,0.0572029
lion,82,0.096962534,-0.046789475,0.23189242,0.10953967,0.116662025
mango,83,-0.23342219,-0.016537081,0.09895035,0.08070271,0.071583726
margarita,84,-0.08646569,-0.08049391,-0.046899863,0.1576896,-0.16488644
mashed potato,85,0.01630776,-0.054622874,-0.00070245465,0.090031736,0.0063721924
milkshake,86,-0.08109869,-0.030345768,0.03823667,0.16797319,-0.19697052
missile,87,-0.18886063,0.004340614,0.24568442,0.022171699,-0.047242973
mosquito,88,0.12762186,-0.13421863,0.004809305,-0.0026181398,0.10197412
mouse,89,-0.16703963,-0.1732058,-0.1569076,0.13880628,0.047521982
oatmeal,90,-0.058613118,-0.14884332,-0.03638257,0.06389929,-0.22415316
odometer,91,0.012200565,0.06997786,-0.027113877,0.26935443,-0.12522611
owl,92,0.044299044,-0.08368266,0.11691208,0.27397707,-0.012458107
parfait,93,-0.07744954,0.18035495,-0.062729724,-0.13605408,-0.06852747
parrot,94,-0.020455422,-0.026095357,0.19398735,0.17765538,0.032787774
pinball,95,-0.09279873,-0.1672702,-0.15576828,0.11623637,0.04908509
pocket watch,96,0.10211944,-0.0008643197,-0.09895503,0.12419852,-0.067274764
puffin,97,-0.14159535,0.085362695,-0.119156845,0.24456137,0.1661015
pumpkin,98,-0.22573599,0.0786136,0.011474139,-0.07790908,0.18972644
quesadilla,99,-0.23287442,-0.07322362,0.003926709,0.05494809,-0.029198293
quiche,100,-0.2297511,-0.11280176,0.020620314,0.13797425,-0.11622209
ravioli,101,-0.14132127,0.05023675,0.012409291,-0.026320653,-0.21017434
sea urchin,102,-0.01031537,-0.07397678,-0.21056421,0.03135717,-0.13388607
shuffleboard,103,-0.032829463,0.0908856,0.020565359,0.018940149,-0.18907559
skeleton,104,-0.11940769,0.046207774,0.03318348,0.14181754,0.0862778
snail,105,0.013173703,-0.03998179,-0.11295243,0.16529888,-0.0734303
snake,106,-0.06053647,-0.09416173,-0.17137282,-0.13668779,-0.10263674
souffle,107,0.18370344,-0.05040701,0.07442542,0.13403732,-0.13962275
stew,108,0.059755616,-0.006073784,-0.13910086,-0.056062154,0.12729906
swab,109,-0.046217207,0.1492739,0.038832422,0.020781167,0.07463025
taillight,110,0.10033353,0.1593031,-0.08952741,0.04402668,-0.013408538
tank,111,-0.22787932,0.15945746,-0.0121309655,0.039484564,0.0077613937
tarantula,112,-0.10720252,-0.22408655,-0.14571568,0.046971325,0.17221414
taxi,113,-0.12846527,0.14490099,-0.088705055,0.15726325,-0.21549518
tennis ball,114,0.04157253,0.018889926,0.07843702,-0.028191382,-0.14164722
thermos,115,-0.1559202,-0.055804804,0.08632441,0.13888833,0.20436999
toilet paper,116,0.041838296,-0.109847344,0.20998469,0.120001584,0.10593193
tortellini,117,-0.05646303,-0.26473224,0.023770636,0.0586773,-0.04778464
treadmill,118,-0.22093807,-0.0646899,-0.0348527,0.014732115,-0.19921419
trowel,119,-0.11642068,-0.04655423,0.0035901358,0.074529245,0.23201163
tuxedo,120,-0.037696507,0.18612504,-0.18876398,0.07121646,-0.10193971
uniform,121,-0.02587241,0.07434412,0.184345,0.17350027,-0.02851175
vase,122,-0.02867845,-0.14032197,0.049383093,-0.024136377,0.022359202
veil,123,-0.21085314,0.08850123,-0.10359432,0.04712876,0.044964388
visor,124,0.026769314,-0.14477088,-0.17567211,0.04138266,-0.08264071
volleyball,125,0.081445426,-0.016523113,0.03153745,0.22722232,0.022144353
waffle,126,0.11439661,-0.075458966,0.002578148,-0.025886614,-0.032331977
wrap,127,-0.0045814523,-0.14417157,0.23512879,0.1448532,0.082375586
