item,embedding
alligator,0.04145978018641472 0.036031559109687805 2.0119340419769287 0.007368504069745541 0.022362174466252327 0.1594642996788025 0.3006023168563843 0.13243742287158966 0.02921110950410366 0.06473848968744278 0.012940836139023304 0.01909167319536209 0.009206193499267101 0.07417140901088715 0.016659026965498924 0.1615661233663559 0.06414023786783218 0.002998648677021265 0.028552638366818428 0.005185369402170181 0.9593443274497986 0.5625649094581604 0.045360494405031204 0.02456694468855858 0.00018056086264550686 0.020365439355373383 0.24034568667411804 0.018644098192453384 0.00499185174703598 0.015882432460784912 0.015646858140826225 0.02014494501054287 0.006506773643195629 0.015215098857879639 0.47475504875183105 0.011070461943745613 0.1659015417098999 0.011269218288362026 0.016749970614910126 0.01746598817408085 0.01899152807891369 0.022949615493416786 0.0191486869007349 0.007753664627671242 0.014839325100183487 0.011176030151546001 0.038884010165929794 0.019775515422225 0.03916603699326515
almond,0.02066473476588726 1.8492802381515503 0.2788732647895813 0.046043284237384796 0.031167756766080856 0.8793556094169617 0.04999502748250961 0.006128278095275164 0.6042069792747498 0.038119424134492874 0.02609848976135254 0.01283243577927351 0.0016251369379460812 0.07050565630197525 0.08518384397029877 0.036526016891002655 0.9584144353866577 0.010769317857921124 0.10295942425727844 0.0074388994835317135 0.013659154996275902 0.3684888184070587 0.09107782691717148 0.035474054515361786 0.012391135096549988 0.0029158885590732098 0.021799476817250252 0.015436354093253613 0.04336909204721451 0.09687642008066177 0.03272058069705963 0.013087361119687557 0.05762958154082298 0.02647772803902626 0.18209795653820038 0.03352097049355507 0.02368014119565487 0.03818875178694725 0.03162228316068649 0.00460831169039011 0.0009156017331406474 0.06914780288934708 0.01658800058066845 0.015250200405716896 0.057758037000894547 0.00975892599672079 0.0011647712672129273 0.04654135927557945 0.008241902105510235
aloe,0.03632471337914467 0.6510224938392639 0.689092755317688 0.11696845293045044 0.16412954032421112 2.385769844055176 0.5099676251411438 0.04992295429110527 0.1539221853017807 0.2313212901353836 0.045202188193798065 0.2901788055896759 0.007468851283192635 0.12173259258270264 0.12380877137184143 0.1611737608909607 0.05497695505619049 0.011975345201790333 0.17229364812374115 0.1656399518251419 0.17901693284511566 0.21509647369384766 0.038519468158483505 0.13571560382843018 0.36353424191474915 0.01467092800885439 0.2765411138534546 0.06305988878011703 0.03910534456372261 0.037612441927194595 0.5068724751472473 0.03137926757335663 0.018331453204154968 0.026880741119384766 0.2522737681865692 0.052506886422634125 0.22026431560516357 0.024048030376434326 0.019351433962583542 0.05502409487962723 0.13513830304145813 0.014072198420763016 0.017121512442827225 0.024785922840237617 0.04619105905294418 0.012497097253799438 0.046865008771419525 0.07688018679618835 0.020663555711507797
alpaca,0.04721264913678169 0.22347962856292725 2.592363119125366 0.43989840149879456 0.017609430477023125 0.29775574803352356 0.153161883354187 0.4516676366329193 0.060658011585474014 0.04885247349739075 0.0022580306977033615 0.043520379811525345 0.013202022761106491 0.10543506592512131 0.01045021042227745 0.04203430563211441 0.07181241363286972 0.00406472384929657 0.017842896282672882 0.00742765050381422 0.023324809968471527 0.05158669129014015 0.0029033857863396406 0.020789634436368942 0.041709985584020615 0.018377505242824554 0.07227575778961182 0.010609111748635769 0.013681488111615181 0.0029931627213954926 0.05737977847456932 0.02575763873755932 0.04616832360625267 0.023196933791041374 0.02677040360867977 0.05639713630080223 0.03163227066397667 0.011232578195631504 0.06091683730483055 0.01069105789065361 0.012065613642334938 0.05617287755012512 0.04929423704743385 0.02490956149995327 0.013186498545110226 0.008080637082457542 0.04658157005906105 0.038555897772312164 0.0028719333931803703
altar,0.579648494720459 0.16208022832870483 0.017593849450349808 0.05916985124349594 1.0840847492218018 0.2848474085330963 0.30925434827804565 0.13767457008361816 0.7778608798980713 0.04994555562734604 0.20024046301841736 1.113832950592041 0.050962407141923904 0.04325323924422264 0.05993150919675827 0.009010560810565948 0.023873118683695793 0.5560467839241028 0.10556381195783615 0.18985232710838318 0.022008955478668213 0.0076424130238592625 0.15029172599315643 0.34406059980392456 0.03424651920795441 0.08132444322109222 0.1608215570449829 0.5171371698379517 0.020072655752301216 0.019284358248114586 0.023646194487810135 0.04729965329170227 0.04497911036014557 0.08435746282339096 0.017672445625066757 0.020528141409158707 0.022287841886281967 0.031873416155576706 0.07655131071805954 0.24602876603603363 0.0401390977203846 0.44606155157089233 0.048049136996269226 0.06719793379306793 0.049257222563028336 0.03543085977435112 0.04108994081616402 0.2412039041519165 0.07092990726232529
aluminum foil,1.4711079597473145 1.0173296928405762 0.014987008646130562 0.3493950366973877 0.0743379220366478 0.032394737005233765 0.02820662222802639 0.04459882155060768 0.03436678275465965 0.01032724417746067 0.1678605079650879 0.02927909418940544 0.16856500506401062 0.010747539810836315 0.0715087279677391 0.1812894195318222 0.10639244318008423 0.36616504192352295 0.0721469521522522 0.25537949800491333 0.01716148853302002 0.04492533579468727 0.053561899811029434 0.02558506466448307 0.034752048552036285 0.015272929333150387 0.03309380263090134 0.030301647260785103 0.08208976686000824 0.04217693582177162 0.016001438722014427 1.1377867460250854 0.34074702858924866 1.534332036972046 0.020489104092121124 0.047689471393823624 0.01923183910548687 0.24030102789402008 0.03789086639881134 0.1259143054485321 0.02867591753602028 0.009753159247338772 0.027971727773547173 0.04776793345808983 0.023634517565369606 0.023510858416557312 0.15234844386577606 0.04779265075922012 0.011230324395000935
amber,0.500757098197937 0.4601745009422302 0.37400415539741516 0.02105245552957058 0.011281461454927921 0.39640748500823975 0.3739118278026581 0.0059067849069833755 0.1692379266023636 0.012271268293261528 0.10593461245298386 0.9082514047622681 0.0037111244164407253 0.02220202423632145 0.01568036898970604 0.18888966739177704 0.1611422300338745 0.01376565732061863 0.21688880026340485 0.07247672975063324 0.1158081665635109 0.7300006747245789 0.17097920179367065 0.010831444524228573 0.10440034419298172 0.010372616350650787 0.2612293064594269 0.1213122084736824 0.007225708570331335 0.5624468922615051 0.0057243481278419495 0.005660049617290497 0.016304466873407364 0.06794333457946777 1.0047576427459717 0.09674840420484543 0.16413918137550354 1.5955003499984741 0.0077006327919662 0.31672269105911255 0.013800140470266342 0.023039158433675766 0.028626473620533943 0.0013765337644144893 0.021727116778492928 0.010834941640496254 0.0004677465185523033 0.0193454772233963 0.7201364636421204
ambulance,0.7931050062179565 0.013973327353596687 0.10952577739953995 0.10309479385614395 0.2402646690607071 0.045620471239089966 0.3942835032939911 1.969444990158081 0.04335625469684601 0.16627436876296997 0.1685013324022293 0.11582644283771515 0.3181319236755371 0.023799706250429153 0.09741692990064621 0.048261020332574844 0.05979135259985924 0.32281026244163513 0.01834997534751892 0.1114993616938591 0.00789113063365221 0.014954735524952412 0.7851366996765137 0.005061592906713486 0.09041136503219604 0.015249533578753471 0.2256302833557129 0.02568008005619049 0.053387437015771866 0.011231431737542152 0.05861012637615204 0.07386454194784164 0.01595979928970337 0.04787660762667656 0.031429700553417206 0.10970938205718994 0.012171001173555851 0.02020738273859024 0.029043585062026978 0.3565802276134491 0.009123123250901699 0.021865658462047577 0.049307674169540405 0.03173326700925827 0.053600676357746124 0.19908009469509125 0.05525916814804077 0.009672753512859344 0.007465584669262171
amplifier,1.2217639684677124 0.056099630892276764 0.004329187795519829 0.1298094391822815 0.4577634036540985 0.019088277593255043 0.02561584673821926 0.42831212282180786 0.08240208774805069 0.012641791254281998 0.12383770197629929 0.31986919045448303 1.4246032238006592 0.27287858724594116 0.009122690185904503 0.035253603011369705 0.01443394273519516 0.06079171225428581 0.024381548166275024 0.019601184874773026 0.07477367669343948 0.029201405122876167 0.012439974583685398 0.05602392181754112 0.03364253789186478 0.06302789598703384 0.07588314265012741 1.276460886001587 0.05010778084397316 0.03475435823202133 0.006803272757679224 0.011127215810120106 0.019649451598525047 0.0021483940072357655 0.033034976571798325 0.006041368469595909 0.0274591576308012 0.01651020720601082 0.026328543201088905 0.022411398589611053 0.0034436634741723537 0.01325114257633686 0.02852768264710903 0.04489454999566078 0.003751609707251191 0.059952374547719955 0.013065344654023647 0.03268171101808548 0.030812082812190056
anchor,1.580273151397705 0.030822541564702988 0.09558390825986862 0.018818631768226624 0.0817747414112091 0.12392524629831314 1.2682033777236938 0.41890692710876465 0.04947016388177872 0.046349622309207916 0.02068641223013401 0.4651607871055603 0.05291993170976639 0.016559071838855743 0.04271942377090454 0.0792049840092659 0.005677027627825737 0.008038859814405441 0.035572078078985214 0.3104863166809082 1.5646179914474487 0.03229377046227455 0.022334879264235497 0.02641606703400612 0.013402651995420456 0.21731078624725342 0.5053374767303467 0.045940984040498734 0.5956315994262695 0.02256929874420166 0.012301701121032238 0.0097543615847826 0.004224582575261593 0.013039730489253998 0.033970218151807785 0.6441478133201599 0.02426832914352417 0.008566739037632942 0.051288459450006485 0.042911987751722336 0.030674826353788376 0.027375003322958946 0.12003269791603088 0.01705983467400074 0.0062101976945996284 0.023515615612268448 0.07598570734262466 0.04153072461485863 0.014546021819114685
ankle,0.006791184656322002 0.11902482062578201 0.7033997178077698 0.26757073402404785 0.15567731857299805 0.0820169746875763 0.09214138984680176 0.023684224113821983 0.1712525188922882 1.7023112773895264 0.030461035668849945 0.04889673739671707 0.007995454594492912 0.6418502330780029 0.008135149255394936 0.16149751842021942 0.04736538231372833 0.041818659752607346 0.009541872888803482 0.033942122012376785 0.04532980918884277 0.18342822790145874 0.017077866941690445 0.054508645087480545 0.4559720754623413 0.033461794257164 0.02221575938165188 0.006224178709089756 0.03276166319847107 0.0005452141631394625 0.05909416079521179 0.03715602681040764 0.13877807557582855 0.028691759333014488 0.08195673674345016 0.004328976385295391 1.8908406496047974 0.00911859143525362 0.02070973813533783 0.013966233469545841 0.014445892535150051 0.011596277356147766 0.07718371599912643 0.012668765150010586 0.014185597188770771 0.23451825976371765 0.017934851348400116 0.06038051098585129 0.027833109721541405
anklet,0.46667245030403137 0.08356722444295883 0.4544154703617096 0.7277600765228271 0.0037078962195664644 0.5408589243888855 0.03981649875640869 0.025907231494784355 0.2565104067325592 1.3692665100097656 0.07716558128595352 0.4316873252391815 0.032664746046066284 0.28901493549346924 0.45868319272994995 0.0503012053668499 0.7093302607536316 0.01976761780679226 0.025923334062099457 0.02123291976749897 0.05147368833422661 0.07478179037570953 0.019659260287880898 1.2998839616775513 0.12300565093755722 0.010469770058989525 0.06691484898328781 0.008167991414666176 0.0019238598179072142 0.08672983944416046 0.18774917721748352 0.035522524267435074 0.012303447350859642 0.05133092403411865 0.05050310119986534 1.2058968544006348 1.1137851476669312 0.018595315515995026 0.019924670457839966 0.022961707785725594 0.13723377883434296 0.027131417766213417 0.030491221696138382 0.02229030430316925 0.05317920818924904 0.03563453629612923 0.051896799355745316 0.032737139612436295 0.004851086996495724
ant,0.02083832025527954 0.14994890987873077 1.4695954322814941 0.015846746042370796 0.018088240176439285 1.085288643836975 0.018646137788891792 0.02062462642788887 0.005683303344994783 0.038366761058568954 0.01547179277986288 0.020517505705356598 0.016546957194805145 0.010261448100209236 0.06010520085692406 0.032633740454912186 0.006835144944489002 0.03013552539050579 0.0768585205078125 0.0005376145709306002 0.02260258048772812 0.35092976689338684 0.04943188652396202 0.018861033022403717 0.025995556265115738 0.01390359178185463 0.03302496299147606 0.01005153451114893 0.021602775901556015 0.002643024316057563 0.041035670787096024 0.05150150507688522 0.02965066023170948 0.04325280711054802 1.6954692602157593 0.05305374413728714 0.07843972742557526 0.13094547390937805 0.032161831855773926 0.012472675181925297 0.014929348602890968 0.011181431822478771 0.010171451605856419 0.044023558497428894 0.0189680103212595 0.039261188358068466 0.0448635071516037 0.00998237356543541 0.022348344326019287
anteater,0.08599337190389633 0.0917164757847786 2.3290855884552 0.055372994393110275 0.034730419516563416 0.17551396787166595 0.07877034693956375 0.01979799009859562 0.04154767468571663 0.22301262617111206 0.0009500820306129754 0.016193566843867302 0.011143977753818035 0.0239426176995039 0.009017053060233593 0.32841956615448 0.025912415236234665 0.0029059816151857376 0.007113966625183821 0.07748167961835861 0.053840942680835724 0.2719038426876068 0.007064927369356155 0.0015483367023989558 0.019549425691366196 0.0956505611538887 0.033695146441459656 0.037593964487314224 0.005564067978411913 0.0017371196299791336 0.016749948263168335 0.02262105420231819 0.06968509405851364 0.007963238283991814 0.011900021694600582 0.035747554153203964 0.02073771320283413 0.032786037772893906 0.0025337066035717726 0.01844058185815811 0.051217492669820786 0.012820730917155743 0.02024160325527191 0.01533270999789238 0.012307317927479744 0.01642002910375595 0.05251330882310867 0.01730150729417801 0.008063510060310364
antelope,0.07817614078521729 0.20819321274757385 2.384990692138672 0.03428974375128746 0.0206009354442358 0.18955063819885254 0.16358141601085663 0.04435401409864426 0.3358513414859772 0.14225317537784576 0.009008007124066353 0.07526542991399765 0.012053036130964756 0.10890240967273712 0.040466248989105225 0.04038409888744354 0.009503096342086792 0.017505643889307976 0.019116781651973724 0.01758551597595215 0.020853808149695396 0.0006887733470648527 0.0020826905965805054 0.029583152383565903 0.04352951794862747 0.050227463245391846 0.055898718535900116 0.030610624700784683 0.004070168826729059 0.027219101786613464 0.04265952110290527 0.0202860776335001 0.019461866468191147 0.03560490161180496 0.008131043054163456 0.0537099689245224 0.0383097380399704 0.02814340405166149 0.02821207605302334 0.052748776972293854 0.05715291202068329 0.05301811918616295 0.07930178195238113 0.0014182114973664284 0.06421133130788803 0.036387644708156586 0.027777671813964844 0.012166020460426807 0.0387759767472744
antenna,1.3858590126037598 0.019886266440153122 0.038875821977853775 0.06326782703399658 0.15735015273094177 0.2618781626224518 0.7030310034751892 0.3248837888240814 0.02319573424756527 0.03691866993904114 0.011262875981628895 0.014098267070949078 0.8369334936141968 0.10337714105844498 0.08680348098278046 0.04679311811923981 0.021077405661344528 0.016220707446336746 0.023852065205574036 0.8119218945503235 0.15381303429603577 0.00683722784742713 0.016104845330119133 0.09955686330795288 0.05220670998096466 0.02841128036379814 0.01567956618964672 0.05013028159737587 0.8730357885360718 0.022176282480359077 0.3785087764263153 0.018389128148555756 0.004910607356578112 0.07286245375871658 0.012535812333226204 0.007381334900856018 0.022359320893883705 0.051426149904727936 0.009276860393583775 0.011386383324861526 0.18593157827854156 0.9886770248413086 0.08028922975063324 0.0026855841279029846 0.05910148471593857 0.04251769930124283 0.29495298862457275 0.022580530494451523 0.005288392771035433
anvil,1.8644680976867676 0.047296907752752304 0.15364713966846466 0.018395746126770973 0.03721821308135986 0.06038743630051613 0.9082886576652527 0.3140040934085846 0.6410736441612244 0.0025138368364423513 0.03451692312955856 0.19587664306163788 0.060258060693740845 0.01889558881521225 0.043461304157972336 0.1679418683052063 0.04853814095258713 0.022857213392853737 0.08578532934188843 0.001961126457899809 0.045811012387275696 0.13464514911174774 0.03830966725945473 0.043464262038469315 0.07136714458465576 0.0886000543832779 0.4055126905441284 0.02443096786737442 0.07407360523939133 0.4064362049102783 0.010008791461586952 0.004682446364313364 0.002466679783537984 0.05583969131112099 0.040326446294784546 0.03721613064408302 0.004535863175988197 0.25540152192115784 0.038826834410429 0.08307494223117828 0.02298170141875744 0.014591893181204796 0.09693504124879837 0.09322162717580795 0.05616333708167076 0.03484988212585449 0.04195549711585045 0.04194776341319084 0.08424852043390274
appetizer,0.020445378497242928 2.219064712524414 0.36919546127319336 0.04612182825803757 0.017854440957307816 0.017553986981511116 0.021855460479855537 0.023149127140641212 0.05767383426427841 0.03341958299279213 0.1248493418097496 0.014987037517130375 0.022611385211348534 0.0076240068301558495 0.15735884010791779 0.02648814395070076 0.47725710272789 0.007109115831553936 0.06797529757022858 0.3898320496082306 0.08632680773735046 0.28951162099838257 0.01983564905822277 0.7812609672546387 0.012696783058345318 0.008397003635764122 0.0209573432803154 0.024625614285469055 0.024430306628346443 0.19837938249111176 0.04197796806693077 0.05968017131090164 0.02922588773071766 0.0019120441284030676 0.07203359156847 0.05911099910736084 0.010072337463498116 0.023459937423467636 0.02443060465157032 0.012422146275639534 0.01863732933998108 0.0627012848854065 0.027943437919020653 0.015195355750620365 0.011997715570032597 0.01674792915582657 0.03460826352238655 0.034941140562295914 0.03172480687499046
apple,0.03671039640903473 1.8842418193817139 0.46634355187416077 0.021262241527438164 0.058553583920001984 0.6890261173248291 0.05018479377031326 0.042210739105939865 0.0668892115354538 0.10520686954259872 0.048161741346120834 0.010777502320706844 0.018429743126034737 0.042889658361673355 0.30992427468299866 0.02889447659254074 0.05927556753158569 0.01235783752053976 0.26568296551704407 0.004833109676837921 0.06150038167834282 0.017639819532632828 0.3540186583995819 0.029881630092859268 0.02425212413072586 0.013014285825192928 0.02858910895884037 0.04713118448853493 0.019193526357412338 1.7281625270843506 0.03155260533094406 0.07034387439489365 0.028638891875743866 0.028805622830986977 0.10929253697395325 0.012793377973139286 0.011357270181179047 0.02025441639125347 0.03124132566154003 0.0052981628105044365 0.021100252866744995 0.0062548136338591576 0.05557876452803612 0.06447264552116394 0.02102276124060154 0.020993584766983986 0.04197646304965019 0.009392425417900085 0.032391127198934555
